episode,reward,length,epsilon,mean_loss,steps
1,-346.1435958618455,123,0.995,4.6410421628063006,123
2,-362.8293122110483,101,0.990025,54.392146683335305,224
3,-210.9361658272708,80,0.985074875,96.37201729893684,304
4,-110.76276561695876,139,0.9801495006250001,89.59264469504356,443
5,-128.25994432103292,82,0.9752487531218751,60.28033652544022,525
6,-263.0692166898602,92,0.9703725093562657,46.31769414186478,617
7,-74.46079437410921,61,0.9655206468094844,47.70897251367569,678
8,-36.3039597473844,121,0.960693043575437,40.92193316340447,799
9,-225.7904419099509,80,0.9558895783575597,57.760373709201815,879
10,-190.450971117431,78,0.9511101304657719,59.719246520996094,957
11,-212.99536340762614,142,0.946354579813443,38.83152975440025,1099
12,-91.20546253488921,132,0.9416228069143757,38.15631582379341,1231
13,-97.06535787421485,89,0.9369146928798039,34.75196763753891,1320
14,-130.82029941373736,100,0.9322301194154049,26.6727592587471,1420
15,-133.4725790181867,118,0.9275689688183278,21.314793306589127,1538
16,-147.613646498587,86,0.9229311239742362,27.652453644275667,1624
17,-77.7345580615054,124,0.918316468354365,30.241093327999113,1748
18,-433.8349267611054,105,0.9137248860125932,33.81149781942368,1853
19,-153.71884589223083,111,0.9091562615825302,26.307876785993574,1964
20,-279.6877886819206,112,0.9046104802746175,33.267330536842344,2076
21,-155.03671294715934,84,0.9000874278732445,20.811559833288193,2160
22,-116.21565770928932,70,0.8955869907338783,25.63910620689392,2230
23,-24.24716499362775,93,0.8911090557802088,30.632956794500352,2323
24,25.422213704984415,126,0.8866535105013078,37.96684367775917,2449
25,-75.88450521366923,68,0.8822202429488013,45.346104574203494,2517
26,-74.87691004088984,134,0.8778091417340573,45.808624322414396,2651
27,-352.1094492646178,98,0.8734200960253871,35.59460491657257,2749
28,-172.97576792940288,124,0.8690529955452602,49.25555238723755,2873
29,-98.9510878365046,83,0.8647077305675338,49.65121377706528,2956
30,-107.39262937830271,93,0.8603841919146962,40.07185923814774,3049
31,-113.26100281462078,73,0.8560822709551227,39.390126080513,3122
32,-48.35535844564668,111,0.851801859600347,55.680533770322796,3233
33,-104.42437381221986,81,0.8475428503023453,45.77176255583763,3314
