episode,reward,length,epsilon,mean_loss,steps
1,-115.00856539468317,123,0.995,4.0210527646339544,123
2,-27.78584319989109,78,0.990025,40.245538304448125,201
3,-129.66527697232047,71,0.985074875,83.0993756198883,272
4,-340.48108976318827,89,0.9801495006250001,80.72247935295105,361
5,-343.9296763592367,100,0.9752487531218751,73.22943332195283,461
6,-74.40129621659555,142,0.9703725093562657,48.555565435886386,603
7,-100.72045925446709,108,0.9655206468094844,82.8233699464798,711
8,-93.62198049248684,98,0.960693043575437,101.02974348545075,809
9,-188.64864263555933,75,0.9558895783575597,148.03051216125488,884
10,-188.62566194857683,71,0.9511101304657719,199.04997344970704,955
11,-202.6042562121645,125,0.946354579813443,274.67353029727934,1080
12,-275.97531528167866,109,0.9416228069143757,286.949838476181,1189
13,-83.26707309682556,71,0.9369146928798039,410.2869625377655,1260
14,-133.294191199546,103,0.9322301194154049,613.3583835506439,1363
15,-179.28204076666555,75,0.9275689688183278,487.02169366836546,1438
16,-212.6795350557121,93,0.9229311239742362,427.195105009079,1531
17,-91.89038564963765,135,0.918316468354365,532.31887321949,1666
18,-226.341812386288,94,0.9137248860125932,547.5218776321411,1760
19,-375.3281305298155,107,0.9091562615825302,499.4199265575409,1867
20,-165.75305475307528,125,0.9046104802746175,409.82685439109804,1992
21,-217.12113827188077,114,0.9000874278732445,387.38981409072875,2106
22,-153.60366736499154,60,0.8955869907338783,414.23926215171815,2166
23,-225.3831054189153,110,0.8911090557802088,544.7581607437133,2276
24,-130.58086177454217,75,0.8866535105013078,475.1958245182037,2351
25,-93.18928548470488,74,0.8822202429488013,261.17954895019534,2425
26,-288.42924011156873,85,0.8778091417340573,341.99604665756226,2510
27,-84.63630552141557,91,0.8734200960253871,457.9400084209442,2601
28,-284.33238792251404,106,0.8690529955452602,362.04055446624756,2707
29,-207.91480807050934,92,0.8647077305675338,311.3599870014191,2799
30,-179.19083661855058,82,0.8603841919146962,428.88839457511904,2881
31,-109.31515148773065,126,0.8560822709551227,395.9135390377045,3007
32,-95.23164714573372,70,0.851801859600347,344.52449409484865,3077
33,-126.60332281144613,80,0.8475428503023453,283.913516664505,3157
34,-105.45049582213915,63,0.8433051360508336,272.6046113395691,3220
35,-147.45335066463838,108,0.8390886103705794,351.2558393287659,3328
36,-229.72358472417355,57,0.8348931673187264,291.0061171245575,3385
37,-113.11628031288095,87,0.8307187014821328,387.6780895233154,3472
38,-394.38884563591296,93,0.8265651079747222,282.7565732431412,3565
39,-160.74922896590348,114,0.8224322824348486,234.3596145915985,3679
40,-299.13629337542056,133,0.8183201210226743,233.11739518642426,3812
41,-240.1564186448612,84,0.8142285204175609,184.5656390762329,3896
