episode,reward,length,epsilon,mean_loss,steps
1,-213.72340889535707,68,0.995,45.69523358345032,68
2,-156.63814863026084,137,0.990025,45.05330304384231,205
3,-342.40335255975407,102,0.985074875,44.36703047990799,307
4,-305.93602772861016,105,0.9801495006250001,59.85806798219681,412
5,-119.7942868288658,98,0.9752487531218751,84.99004423618317,510
6,-95.42946958415745,131,0.9703725093562657,37.978539690971374,641
7,-398.4519366691329,97,0.9655206468094844,36.7508780002594,738
8,-347.88959097240615,112,0.960693043575437,33.85979079961777,850
9,-281.0159725605366,132,0.9558895783575597,32.97050101041794,982
10,-102.66315526516426,77,0.9511101304657719,34.63984164714813,1059
11,-106.11196352079392,97,0.946354579813443,34.6221533370018,1156
12,-87.2193744440397,85,0.9416228069143757,41.018970351219174,1241
13,-325.5647718890167,102,0.9369146928798039,47.829540314674375,1343
14,-121.3567478836532,129,0.9322301194154049,29.78651122570038,1472
15,-175.81145401468876,77,0.9275689688183278,28.99048872947693,1549
16,-353.79457646969337,103,0.9229311239742362,23.034760732650756,1652
17,-59.53180814749204,145,0.918316468354365,36.409023714065555,1797
18,-202.66400827634962,120,0.9137248860125932,33.990703868865964,1917
19,-138.0013204118933,82,0.9091562615825302,30.922425827980042,1999
20,-13.092302274221424,84,0.9046104802746175,32.50350162029267,2083
21,-77.91308718548352,81,0.9000874278732445,36.35448372125626,2164
22,-115.52669826708168,146,0.8955869907338783,37.72931532740593,2310
23,-67.24790330391926,135,0.8911090557802088,34.14554618358612,2445
24,-193.80015471502975,115,0.8866535105013078,29.164920730590822,2560
25,-65.90487211037794,130,0.8822202429488013,33.45055717229843,2690
26,-215.91873574357382,139,0.8778091417340573,29.530583446025847,2829
27,-158.54647252391345,70,0.8734200960253871,28.40476397395134,2899
28,-124.15115691737728,104,0.8690529955452602,35.58807430267334,3003
29,-69.36826350915626,61,0.8647077305675338,35.469045298099516,3064
30,-92.98107335280605,80,0.8603841919146962,27.97652116060257,3144
31,-144.34570066169823,81,0.8560822709551227,32.39290469646454,3225
32,-63.874501553923736,67,0.851801859600347,25.87574706315994,3292
33,-113.17041823961938,99,0.8475428503023453,27.990169522762297,3391
34,-48.87028914906287,67,0.8433051360508336,38.3240140080452,3458
35,-253.62150076318923,174,0.8390886103705794,31.347698121070863,3632
36,-241.63409630501985,116,0.8348931673187264,28.216585915088654,3748
37,-141.52483388474312,82,0.8307187014821328,31.124924718141557,3830
38,-197.05226374230227,129,0.8265651079747222,26.914596005678177,3959
39,-175.33439816169113,92,0.8224322824348486,27.05317895412445,4051
40,-99.40196291284406,83,0.8183201210226743,24.637493391036987,4134
41,-192.4852213777997,117,0.8142285204175609,31.656487109661104,4251
42,-93.07595078543648,99,0.810157377815473,26.43594272017479,4350
43,-132.09044703589205,113,0.8061065909263957,26.331789836883544,4463
44,-139.48475865776476,97,0.8020760579717637,26.254730550050734,4560
45,-80.16614002798892,97,0.798065677681905,29.983544214963914,4657
46,-80.67345999627827,81,0.7940753492934954,27.043001459836958,4738
47,14.292473596331277,149,0.7901049725470279,26.250347764492034,4887
48,-333.09177650851234,152,0.7861544476842928,30.510568729639054,5039
49,-118.57099647183655,64,0.7822236754458713,31.375210239887238,5103
50,-28.072462398102786,104,0.778312557068642,32.88845459580421,5207
51,-163.0565418212948,106,0.7744209942832988,32.88562334537506,5313
52,-322.8171227457545,131,0.7705488893118823,38.498684163093564,5444
53,-267.78392023757095,95,0.7666961448653229,34.52447841882706,5539
54,-224.26753772599244,127,0.7628626641409962,32.16091639995575,5666
55,-57.87109227931607,102,0.7590483508202912,33.05302019357681,5768
56,-105.1962591050955,82,0.7552531090661897,34.63218785762787,5850
57,-143.81085681220907,131,0.7514768435208588,44.59442579984665,5981
58,-104.53160741820302,127,0.7477194593032545,32.15679738402367,6108
59,-103.65450533251396,63,0.7439808620067382,36.58020750880242,6171
60,-46.54086390910473,78,0.7402609576967045,35.097805230617524,6249
61,-86.58729761036963,79,0.736559652908221,29.1389050924778,6328
62,-79.0129688838393,85,0.7328768546436799,38.50527701616287,6413
63,-45.181715255455465,93,0.7292124703704616,29.26891121506691,6506
64,-188.81310699396874,112,0.7255664080186093,34.46937880754471,6618
65,-147.58790414154925,110,0.7219385759785162,32.05830153226852,6728
66,-147.9753494952241,123,0.7183288830986236,25.392319839000702,6851
67,-131.3023122274989,116,0.7147372386831305,38.357952818870544,6967
68,-100.98474759133114,104,0.7111635524897149,24.21161190152168,7071
69,-77.58650686203424,107,0.7076077347272662,33.581254177093506,7178
70,-52.94306535882137,123,0.7040696960536299,33.49838116168976,7301
71,-54.64694663483195,157,0.7005493475733617,26.960202393531798,7458
72,-134.93834904162935,105,0.697046600835495,37.43678693532944,7563
73,-130.94038627037662,122,0.6935613678313175,28.81387053489685,7685
74,-63.998165651463566,98,0.6900935609921609,34.66438532114029,7783
75,-21.654222252707854,116,0.6866430931872001,28.113223402500154,7899
76,-57.18914305579367,113,0.6832098777212641,29.47916047334671,8012
77,-95.35281817646407,91,0.6797938283326578,24.218365417718886,8103
78,-206.52151917254548,101,0.6763948591909945,24.482035887241363,8204
79,-190.06268585648075,125,0.6730128848950395,26.695464268922805,8329
80,-20.15234080809566,126,0.6696478204705644,28.561859452724455,8455
81,-160.83469889830243,64,0.6662995813682115,27.011456258296967,8519
82,-119.1827156100081,143,0.6629680834613705,24.539779522418975,8662
83,-72.1879338782822,126,0.6596532430440636,30.766796169281005,8788
84,-313.6474390923213,113,0.6563549768288433,27.505579406023024,8901
85,-67.55751823637385,148,0.653073201944699,30.60167974472046,9049
86,-36.07525065953102,156,0.6498078359349755,29.540103012323378,9205
87,-146.41686699741246,59,0.6465587967553006,23.24481043934822,9264
88,-22.644289972446117,141,0.6433260027715241,19.04905828714371,9405
89,-17.5260088281387,155,0.6401093727576664,16.430712392330168,9560
90,-68.89732773457897,149,0.6369088258938781,22.50707992196083,9709
91,-93.43913447416999,189,0.6337242817644086,26.16368658065796,9898
92,-26.82397691440302,121,0.6305556603555866,18.95420527100563,10019
93,-29.882802346554,133,0.6274028820538087,24.8605182993412,10152
94,-54.187288688827614,166,0.6242658676435396,22.48041678071022,10318
95,-39.594844267384644,81,0.6211445383053219,18.4690607047081,10399
96,-96.65860793397407,125,0.6180388156137953,24.56105684041977,10524
97,-51.90420133726051,182,0.6149486215357263,24.018996801376343,10706
98,-83.38420092152882,159,0.6118738784280476,23.452011398077012,10865
99,2.1380860878925887,201,0.6088145090359074,26.655392787456513,11066
100,2.494013465420238,102,0.6057704364907278,19.664346566200255,11168
101,-333.5184109618465,246,0.6027415843082742,16.87393316268921,11414
102,-44.50425956272159,172,0.5997278763867329,25.62001069188118,11586
103,-203.9674010182684,164,0.5967292370047992,24.47687112689018,11750
104,-102.86058767670306,210,0.5937455908197752,19.30478036761284,11960
105,-106.46283828737599,120,0.5907768628656763,18.145169459581375,12080
106,-83.43837479788544,151,0.5878229785513479,25.619025264978408,12231
107,-80.31685098802492,199,0.5848838636585911,23.350791360139848,12430
108,-40.90485553777419,120,0.5819594443402982,23.912479264736177,12550
109,13.964966359614948,174,0.5790496471185967,24.827944831848143,12724
110,0.9012145456506175,102,0.5761543988830038,17.75397753596306,12826
111,-75.97924539244657,115,0.5732736268885887,23.257359837293624,12941
112,-76.69365591844769,116,0.5704072587541458,26.065939668416977,13057
113,-65.35305582103322,91,0.567555222460375,26.227104403972625,13148
114,-99.25139412205785,178,0.5647174463480732,23.487925329208373,13326
115,-129.42416404133286,151,0.5618938591163328,23.38579571247101,13477
116,-56.14791727130084,116,0.5590843898207511,26.473160319328308,13593
117,-73.7649240838737,138,0.5562889678716474,19.447565393447874,13731
118,-20.89105604952124,170,0.5535075230322891,17.62763449192047,13901
119,2.1938587252933957,191,0.5507399854171277,23.650341310501098,14092
120,-17.919922367729455,211,0.547986285490042,24.032324645519257,14303
121,-39.592334161236145,94,0.5452463540625918,17.545517674684525,14397
122,-136.44557709819355,186,0.5425201222922789,20.798730362653732,14583
123,-211.56282099715446,592,0.5398075216808175,21.390297352075578,15175
124,34.38834714547218,192,0.5371084840724134,27.86979074239731,15367
125,-340.0990353850676,417,0.5344229416520513,28.072228418588637,15784
126,-52.0203085884375,144,0.531750826943791,27.82911463499069,15928
127,-27.527094638323504,222,0.5290920728090721,26.6339974629879,16150
128,-116.87972473101043,220,0.5264466124450268,30.12808436393738,16370
129,10.595944429127954,163,0.5238143793828016,23.974166015386583,16533
130,-16.24761094028605,120,0.5211953074858876,25.564764335155488,16653
131,-132.74191299308507,270,0.5185893309484582,29.209049438238143,16923
132,-66.66768631379207,205,0.5159963842937159,21.769846429824828,17128
133,1.7217243113923786,103,0.5134164023722473,20.6285711312294,17231
134,-87.72982855158195,240,0.510849320360386,22.49588747024536,17471
135,-11.369371112722106,210,0.5082950737585841,32.87161877155304,17681
136,40.936983479248966,195,0.5057535983897912,29.38629400730133,17876
137,-12.468645534075122,173,0.5032248303978422,23.864153689146043,18049
138,19.06947369632779,114,0.500708706245853,25.847987331151963,18163
139,32.90064249603055,1000,0.4982051627146237,29.44205179333687,19163
140,-21.53795889835034,176,0.49571413690105054,29.79326339960098,19339
141,-28.85267104073678,337,0.4932355662165453,26.952270953655244,19676
142,-47.3799273573672,258,0.4907693883854626,23.427864172458648,19934
143,-274.21843181885845,190,0.4883155414435353,25.98173319220543,20124
144,-26.57304193363109,153,0.4858739637363176,26.340844618082045,20277
145,44.68936414985819,353,0.483444593917636,23.498087661266325,20630
146,-27.69420959030036,99,0.4810273709480478,19.252759170532226,20729
147,15.180902518118359,1000,0.47862223409330756,25.641030707359313,21729
148,23.898987697534153,134,0.47622912292284103,35.14982262849808,21863
149,-47.771886627275585,310,0.4738479773082268,22.64153100848198,22173
150,84.85141337276387,1000,0.47147873742168567,23.620895283222197,23173
151,-27.830886179671523,175,0.46912134373457726,28.067912335395814,23348
152,-25.318022954359208,276,0.46677573701590436,21.15520843744278,23624
153,-11.760265379384606,161,0.46444185833082485,17.700505607128143,23785
154,-58.36726153809827,455,0.46211964903917074,14.54792849779129,24240
155,-28.986883161507578,99,0.4598090507939749,26.93715073108673,24339
